Link to Ambiente profile page,Hall,Stand,Company Name,Company Website,Country of Origin,General contact email,Our contact persons,Email contact persons,Role,LinkedIn Page,Keywords
https://ambiente.messefrankfurt.com/frankfurt/en/exhibitor-search.detail.html/8-seasons-design-gmbh.html,3.0,F49,8 seasons design GmbH,www.8-seasons-design.de,Germany,info@8-seasons-design.de,,,,,[]
https://ambiente.messefrankfurt.com/frankfurt/en/exhibitor-search.detail.html/24bottles-societ-benefit-srl.html,4.2,J02,24Bottles Societ&agrave; Benefit S.r.l.,https://24bottles.com/,Italy,lucia@24bottles.com,"['Khadija Moussamih', 'Mariateresa  Di Maio']","['info@3dcork.com', 'sales@3dglassware.com', 'info@peach.info', 'a.ladenthien@peach.info', 'onno@4everyware.nl', 'khadija@24bottles.com', 'mariateresa@24bottles.com', 'maribelle@33point3.com', 'jenifer@33point3.com', 'emlin@33point3.com', 'marketing@abbacraft.id', 'marketing@abbacraft.id', 'judy@abel.com.tw', 'contact@abien-eu.com', 'tschida@abien-eu.com', 'schraudy@abien-eu.com', 'contact@abien-eu.com', 'raviselvan@abinaya.in', 'info@3dcork.com', 'sales@3dglassware.com', 'info@peach.info', 'a.ladenthien@peach.info', 'onno@4everyware.nl', 'khadija@24bottles.com', 'mariateresa@24bottles.com', 'maribelle@33point3.com', 'jenifer@33point3.com', 'emlin@33point3.com', 'marketing@abbacraft.id', 'marketing@abbacraft.id', 'judy@abel.com.tw', 'contact@abien-eu.com', 'tschida@abien-eu.com', 'schraudy@abien-eu.com', 'contact@abien-eu.com', 'raviselvan@abinaya.in']","['Sales ', 'Sales ']",linkedin,"['water bottles', 'lunch box', 'coffee cup', 'stainless steel', 'insulated bottles']"
https://ambiente.messefrankfurt.com/frankfurt/en/exhibitor-search.detail.html/33-point-3-exports-inc.html,10.4,B72,"33 Point 3 Exports, Inc.",www.33point3.com,Philippines,info@33point3.com,"['MARIBELLE CRUZ', 'JENIFER CRUZ', 'EMLIN NABUA']","['info@3dcork.com', 'sales@3dglassware.com', 'info@peach.info', 'a.ladenthien@peach.info', 'onno@4everyware.nl', 'khadija@24bottles.com', 'mariateresa@24bottles.com', 'maribelle@33point3.com', 'jenifer@33point3.com', 'emlin@33point3.com', 'marketing@abbacraft.id', 'marketing@abbacraft.id', 'judy@abel.com.tw', 'contact@abien-eu.com', 'tschida@abien-eu.com', 'schraudy@abien-eu.com', 'contact@abien-eu.com', 'raviselvan@abinaya.in', 'info@3dcork.com', 'sales@3dglassware.com', 'info@peach.info', 'a.ladenthien@peach.info', 'onno@4everyware.nl', 'khadija@24bottles.com', 'mariateresa@24bottles.com', 'maribelle@33point3.com', 'jenifer@33point3.com', 'emlin@33point3.com', 'marketing@abbacraft.id', 'marketing@abbacraft.id', 'judy@abel.com.tw', 'contact@abien-eu.com', 'tschida@abien-eu.com', 'schraudy@abien-eu.com', 'contact@abien-eu.com', 'raviselvan@abinaya.in']","['General management\xa0', 'General management\xa0', 'Marketing/Advertising']",,"['handwoven', 'handicraft', 'artisan', 'weave', 'export']"
https://ambiente.messefrankfurt.com/frankfurt/en/exhibitor-search.detail.html/100percent-inc.html,3.1,A90,100percent Inc.,www.100per.com,Japan,info@100per.com,,,,,[]
https://ambiente.messefrankfurt.com/frankfurt/en/exhibitor-search.detail.html/aa-accessories.html,10.1,D67,A&amp;A Accessories,,India,office@aanda.net.in,,,,,[]
https://ambiente.messefrankfurt.com/frankfurt/en/exhibitor-search.detail.html/aanya-designs.html,10.1,C30,AANYA DESIGNS,www.aanyadesigns.com,India,info@aanyadesigns.com,,,,,[]
https://ambiente.messefrankfurt.com/frankfurt/en/exhibitor-search.detail.html/aarke-ab.html,9.0,C10,Aarke AB,www.aarke.com,Sweden,henrik@aarke.com,,,,linkedin,"['Soda maker', 'Stainless steel', 'Water filter', 'Kettle', 'Carbonator']"
https://ambiente.messefrankfurt.com/frankfurt/en/exhibitor-search.detail.html/abbacraft-multi-kreasi-pt.html,10.4,B25E,Abbacraft Multi Kreasi PT,www.abbacraft.id,Indonesia,marketing@abbacraft.id,"['Suselo  Purwanto', 'Dona Kristi']","['info@3dcork.com', 'sales@3dglassware.com', 'info@peach.info', 'a.ladenthien@peach.info', 'onno@4everyware.nl', 'khadija@24bottles.com', 'mariateresa@24bottles.com', 'maribelle@33point3.com', 'jenifer@33point3.com', 'emlin@33point3.com', 'marketing@abbacraft.id', 'marketing@abbacraft.id', 'judy@abel.com.tw', 'contact@abien-eu.com', 'tschida@abien-eu.com', 'schraudy@abien-eu.com', 'contact@abien-eu.com', 'raviselvan@abinaya.in', 'info@3dcork.com', 'sales@3dglassware.com', 'info@peach.info', 'a.ladenthien@peach.info', 'onno@4everyware.nl', 'khadija@24bottles.com', 'mariateresa@24bottles.com', 'maribelle@33point3.com', 'jenifer@33point3.com', 'emlin@33point3.com', 'marketing@abbacraft.id', 'marketing@abbacraft.id', 'judy@abel.com.tw', 'contact@abien-eu.com', 'tschida@abien-eu.com', 'schraudy@abien-eu.com', 'contact@abien-eu.com', 'raviselvan@abinaya.in']","['Marketing/Advertising', 'Marketing/Advertising']",linkedin,"['small furniture console side coffee table stool chair sofa stainless iron wood teak ', 'wall art stand home decor mirror foto frame tile vase table top dining set bathroom', 'tray placemat coaster tissue box brush holder soap dispenser napkin ring basket ', 'capiz sea shell mother of pearl nature waste material upcycle recycle green environment women empowerment ', 'sustainable sustainability philipine vietnam indonesia india natural women empowerment']"
https://ambiente.messefrankfurt.com/frankfurt/en/exhibitor-search.detail.html/abel-industries-international-co-ltd.html,10.0,B21,"Abel Industries International Co., Ltd.",www.abel.com.tw,Taiwan,judy@mail.abel.com.tw,['JUDY  LIU '],"['info@3dcork.com', 'sales@3dglassware.com', 'info@peach.info', 'a.ladenthien@peach.info', 'onno@4everyware.nl', 'khadija@24bottles.com', 'mariateresa@24bottles.com', 'maribelle@33point3.com', 'jenifer@33point3.com', 'emlin@33point3.com', 'marketing@abbacraft.id', 'marketing@abbacraft.id', 'judy@abel.com.tw', 'contact@abien-eu.com', 'tschida@abien-eu.com', 'schraudy@abien-eu.com', 'contact@abien-eu.com', 'raviselvan@abinaya.in', 'info@3dcork.com', 'sales@3dglassware.com', 'info@peach.info', 'a.ladenthien@peach.info', 'onno@4everyware.nl', 'khadija@24bottles.com', 'mariateresa@24bottles.com', 'maribelle@33point3.com', 'jenifer@33point3.com', 'emlin@33point3.com', 'marketing@abbacraft.id', 'marketing@abbacraft.id', 'judy@abel.com.tw', 'contact@abien-eu.com', 'tschida@abien-eu.com', 'schraudy@abien-eu.com', 'contact@abien-eu.com', 'raviselvan@abinaya.in']",[None],,"['stationery', 'office supply ', 'tape dispenser ', 'clipboard ', 'storage ']"
https://ambiente.messefrankfurt.com/frankfurt/en/exhibitor-search.detail.html/abert-spa.html,11.0,D21,Abert S.p.A.,abert.it,Italy,info@abert.it,,,,,"['Cutlery', 'Buffet', 'Hollowware', 'Made in Italy', 'Kitchen']"
https://ambiente.messefrankfurt.com/frankfurt/en/exhibitor-search.detail.html/abhinandan-steels.html,11.1,F02,Abhinandan Steels,www.abhinandansteels.com,India,export@abhisteels.com,,,,,"['barware', 'HOTELWARE', 'colanders', 'stainless steel bowls', 'utensils']"
https://ambiente.messefrankfurt.com/frankfurt/en/exhibitor-search.detail.html/abhiram-industries.html,10.3,E41,Abhiram Industries,,India,sales@homedekors.com,,,,,[]
https://ambiente.messefrankfurt.com/frankfurt/en/exhibitor-search.detail.html/abhiuday-print-industries-p-limited.html,10.0,A55,Abhiuday Print Industries (P) Limited,www.abhiudayprintindustries.com,India,ammarnathbansel@gmail.com,,,,,"['Wrapping Paper', 'Paper Bags', 'Gift Box', 'Gift Wrapping Paper', 'Christmas']"
https://ambiente.messefrankfurt.com/frankfurt/en/exhibitor-search.detail.html/abien-inc.html,3.1,A75,abien Inc.,https://abien-eu.com/,Japan,contact@abien-eu.com,"['Melika Mobini', 'Valentin  Tschida', 'Kurt Schraudy', 'Chiaki Yamaga']","['info@3dcork.com', 'sales@3dglassware.com', 'info@peach.info', 'a.ladenthien@peach.info', 'onno@4everyware.nl', 'khadija@24bottles.com', 'mariateresa@24bottles.com', 'maribelle@33point3.com', 'jenifer@33point3.com', 'emlin@33point3.com', 'marketing@abbacraft.id', 'marketing@abbacraft.id', 'judy@abel.com.tw', 'contact@abien-eu.com', 'tschida@abien-eu.com', 'schraudy@abien-eu.com', 'contact@abien-eu.com', 'raviselvan@abinaya.in', 'info@3dcork.com', 'sales@3dglassware.com', 'info@peach.info', 'a.ladenthien@peach.info', 'onno@4everyware.nl', 'khadija@24bottles.com', 'mariateresa@24bottles.com', 'maribelle@33point3.com', 'jenifer@33point3.com', 'emlin@33point3.com', 'marketing@abbacraft.id', 'marketing@abbacraft.id', 'judy@abel.com.tw', 'contact@abien-eu.com', 'tschida@abien-eu.com', 'schraudy@abien-eu.com', 'contact@abien-eu.com', 'raviselvan@abinaya.in']","['Marketing/Advertising', 'Sales ', None, 'Marketing/Advertising']",,"['Made in Japan', 'New Lifestyle', 'Kitchenware', 'Healthy Life', 'Stylish Design']"
https://ambiente.messefrankfurt.com/frankfurt/en/exhibitor-search.detail.html/abinaya-grineters.html,10.2,C48,Abinaya Grineters,www.abinayahome.com,India,raviselvan@abinaya.in,['Raviselvan K R'],"['info@3dcork.com', 'sales@3dglassware.com', 'info@peach.info', 'a.ladenthien@peach.info', 'onno@4everyware.nl', 'khadija@24bottles.com', 'mariateresa@24bottles.com', 'maribelle@33point3.com', 'jenifer@33point3.com', 'emlin@33point3.com', 'marketing@abbacraft.id', 'marketing@abbacraft.id', 'judy@abel.com.tw', 'contact@abien-eu.com', 'tschida@abien-eu.com', 'schraudy@abien-eu.com', 'contact@abien-eu.com', 'raviselvan@abinaya.in', 'info@3dcork.com', 'sales@3dglassware.com', 'info@peach.info', 'a.ladenthien@peach.info', 'onno@4everyware.nl', 'khadija@24bottles.com', 'mariateresa@24bottles.com', 'maribelle@33point3.com', 'jenifer@33point3.com', 'emlin@33point3.com', 'marketing@abbacraft.id', 'marketing@abbacraft.id', 'judy@abel.com.tw', 'contact@abien-eu.com', 'tschida@abien-eu.com', 'schraudy@abien-eu.com', 'contact@abien-eu.com', 'raviselvan@abinaya.in']",['Administration'],,"['Home Textile', 'Quality', 'Karur', 'Organic', 'Wholesale']"
