Link to Ambiente profile page,Hall,Stand,Company Name,Company Website,Country of Origin,General contact email,Our contact persons,Email contact persons,Role,LinkedIn Page,Keywords
https://ambiente.messefrankfurt.com/frankfurt/en/exhibitor-search.detail.html/24bottles-societ-benefit-srl.html,4.2,J02,24Bottles Societ&agrave; Benefit S.r.l.,https://24bottles.com/,Italy,lucia@24bottles.com,"Khadija Moussamih, Mariateresa  Di Maio",,"Sales , Sales ",linkedin,"water bottles, lunch box, coffee cup, stainless steel, insulated bottles"
https://ambiente.messefrankfurt.com/frankfurt/en/exhibitor-search.detail.html/33-point-3-exports-inc.html,10.4,B72,"33 Point 3 Exports, Inc.",www.33point3.com,Philippines,info@33point3.com,"MARIBELLE CRUZ, JENIFER CRUZ, EMLIN NABUA",,"General management , General management , Marketing/Advertising",,"handwoven, handicraft, artisan, weave, export"
https://ambiente.messefrankfurt.com/frankfurt/en/exhibitor-search.detail.html/100percent-inc.html,3.1,A90,100percent Inc.,www.100per.com,Japan,info@100per.com,,,,,
https://ambiente.messefrankfurt.com/frankfurt/en/exhibitor-search.detail.html/aa-accessories.html,10.1,D67,A&amp;A Accessories,,India,office@aanda.net.in,,,,,
https://ambiente.messefrankfurt.com/frankfurt/en/exhibitor-search.detail.html/aanya-designs.html,10.1,C30,AANYA DESIGNS,www.aanyadesigns.com,India,info@aanyadesigns.com,,,,,
https://ambiente.messefrankfurt.com/frankfurt/en/exhibitor-search.detail.html/aarke-ab.html,9.0,C10,Aarke AB,www.aarke.com,Sweden,henrik@aarke.com,,,,linkedin,"Soda maker, Stainless steel, Water filter, Kettle, Carbonator"
https://ambiente.messefrankfurt.com/frankfurt/en/exhibitor-search.detail.html/abbacraft-multi-kreasi-pt.html,10.4,B25E,Abbacraft Multi Kreasi PT,www.abbacraft.id,Indonesia,marketing@abbacraft.id,"Suselo  Purwanto, Dona Kristi",,"Marketing/Advertising, Marketing/Advertising",linkedin,"small furniture console side coffee table stool chair sofa stainless iron wood teak , wall art stand home decor mirror foto frame tile vase table top dining set bathroom, tray placemat coaster tissue box brush holder soap dispenser napkin ring basket , capiz sea shell mother of pearl nature waste material upcycle recycle green environment women empowerment , sustainable sustainability philipine vietnam indonesia india natural women empowerment"
https://ambiente.messefrankfurt.com/frankfurt/en/exhibitor-search.detail.html/abel-industries-international-co-ltd.html,10.0,B21,"Abel Industries International Co., Ltd.",www.abel.com.tw,Taiwan,judy@mail.abel.com.tw,JUDY  LIU ,,,,"stationery, office supply , tape dispenser , clipboard , storage "
https://ambiente.messefrankfurt.com/frankfurt/en/exhibitor-search.detail.html/abert-spa.html,11.0,D21,Abert S.p.A.,abert.it,Italy,info@abert.it,,,,,"Cutlery, Buffet, Hollowware, Made in Italy, Kitchen"
https://ambiente.messefrankfurt.com/frankfurt/en/exhibitor-search.detail.html/abhinandan-steels.html,11.1,F02,Abhinandan Steels,www.abhinandansteels.com,India,export@abhisteels.com,,,,,"barware, HOTELWARE, colanders, stainless steel bowls, utensils"
https://ambiente.messefrankfurt.com/frankfurt/en/exhibitor-search.detail.html/abhiram-industries.html,10.3,E41,Abhiram Industries,,India,sales@homedekors.com,,,,,
https://ambiente.messefrankfurt.com/frankfurt/en/exhibitor-search.detail.html/abhiuday-print-industries-p-limited.html,10.0,A55,Abhiuday Print Industries (P) Limited,www.abhiudayprintindustries.com,India,ammarnathbansel@gmail.com,,,,,"Wrapping Paper, Paper Bags, Gift Box, Gift Wrapping Paper, Christmas"
https://ambiente.messefrankfurt.com/frankfurt/en/exhibitor-search.detail.html/abien-inc.html,3.1,A75,abien Inc.,https://abien-eu.com/,Japan,contact@abien-eu.com,"Melika Mobini, Valentin  Tschida, Kurt Schraudy, Chiaki Yamaga",,"Marketing/Advertising, Sales , Marketing/Advertising",,"Made in Japan, New Lifestyle, Kitchenware, Healthy Life, Stylish Design"
https://ambiente.messefrankfurt.com/frankfurt/en/exhibitor-search.detail.html/abinaya-grineters.html,10.2,C48,Abinaya Grineters,www.abinayahome.com,India,raviselvan@abinaya.in,Raviselvan K R,,Administration,,"Home Textile, Quality, Karur, Organic, Wholesale"
https://ambiente.messefrankfurt.com/frankfurt/en/exhibitor-search.detail.html/les-ateliers-des-pierres-moulees.html,10.1,E05,BACHMARA - Les Ateliers des Pierres Moulees,www.bachmara.net,Tunisia,bachmara@yahoo.fr,,,,,"curtains accessories, tie back fringes, ceramics, pottery, tunisia"
https://ambiente.messefrankfurt.com/frankfurt/en/exhibitor-search.detail.html/bac-ninh-manufacture-co-ltd.html,10.1,A17,"Bac Ninh Manufacture Co., Ltd.",bacninhcraft.com.vn,Vietnam,export68@bacninhcraft.com,,,,,"Storage Baskets and Accessories , Kitchen decoration, Wall Decor , Lighting and accessories, Home Decor "
https://ambiente.messefrankfurt.com/frankfurt/en/exhibitor-search.detail.html/ba-company-limited.html,10.4,E75,BA Company Limited,www.lunique.com.vn,Vietnam,quynhchau@luniquehn.com,"Chau Dinh Pham Quynh, Quang Nguyen Hung",,General management ,,"Silk velvet bedding , Cushion,  Throw,  Quilt, Hand embroidered "
https://ambiente.messefrankfurt.com/frankfurt/en/exhibitor-search.detail.html/badreig-melamine-factory.html,8.0,N52,Badreig Melamine Factory,www.badreig.com.sa,Saudi Arabia,azzan@badreig.com,,,,,
https://ambiente.messefrankfurt.com/frankfurt/en/exhibitor-search.detail.html/p-p-bafna-ventures-private-limited.html,10.0,B19,P P Bafna Ventures Private Limited,http://www.bafnagroup.com/,India,arpana@bafnagroup.com,,,,,
https://ambiente.messefrankfurt.com/frankfurt/en/exhibitor-search.detail.html/bager-plastik-sanayi-ve-ticaret-limited-sirketi.html,9.1,E61,Bager Plastik Sanayi Ve Ticaret Limited Sirketi,www.bagerplastik.com,Türkiye,burak.gergin@bagerplastik.com,,,,,"plasticware, kitchenware, glassware, household, storage box"
https://ambiente.messefrankfurt.com/frankfurt/en/exhibitor-search.detail.html/bagmati-arts--handicraft.html,10.1,A51,Bagmati Arts &amp; Handicraft,www.nepalfeltcraft.com,Nepal,bagmati@paper.wlink.com.np,,,,,"Bagmati Arts &amp; Handicraft A-51, Felt Dryer Ball, Felt cat Cave, Felt Carpet, Felt , Handmade paper, Nepal "
https://ambiente.messefrankfurt.com/frankfurt/en/exhibitor-search.detail.html/bagutta-srl.html,4.2,H57,Bagutta S.r.l.,www.baguttaonline.it,Italy,campaiola@baguttaonline.it,,,,,"Bottles, Water Bottles, Stainlees steel Bottles, Vaccum Bottles, Thermal Bottles"
https://ambiente.messefrankfurt.com/frankfurt/en/exhibitor-search.detail.html/bag-world.html,10.1,E63,Bag World,bagworldindia.com,India,kamakshigupta@bagworld.net.in,,,,,"bags, sustainable, hemp, bamboo, eco friendly"
https://ambiente.messefrankfurt.com/frankfurt/en/exhibitor-search.detail.html/bahat-elektrikli-ev-aletleri-sanayi-ve-dis-ticaret-limited-sirketi.html,9.3,F80,Bahat Elektrikli Ev Aletleri Sanayi Ve Dis Ticaret Limited Sirketi,www.orca.com.tr,Türkiye,ali@orca.com.tr,"Mehmet Ali  Bahçivan, Hasan Cüneyd Bahçivan",,,,
https://ambiente.messefrankfurt.com/frankfurt/en/exhibitor-search.detail.html/zhejiang-bairun-kitchenware-co-ltd.html,11.1,G30C,"Zhejiang Bairun Kitchenware Co., Ltd.",www.bairun.cn,China,simon@bairun.cn,Frank Shu,,Marketing/Advertising,linkedin,"Bar Tools, Wine tools, Kitchen gadgets, Wine set, Kitchen tools"
https://ambiente.messefrankfurt.com/frankfurt/en/exhibitor-search.detail.html/fujian-dehua-baiyifeng-co-ltd.html,10.2,F20D,"Fujian Dehua Baiyifeng Co., Ltd.",https://baiyifeng.en.alibaba.com/,China,baiyifeng@shishengceramic.com.cn,None None,,Sales ,,"CERAMIC TABLEWARE, CERAMIC SEASONAL ITEMS, CERAMIC INTERIOR DECORATION, CERAMIC DECORATIVE FIGURINES, CERAMIC VASE.CANDLEHOLDER"
https://ambiente.messefrankfurt.com/frankfurt/en/exhibitor-search.detail.html/bakson-exports.html,10.1,C31,Bakson Exports,,India,baksonexport@gmail.com,"Harsh  Katyal, Gagan Katyal",,Export,,"Aluminium artware and Handicrafts, Candle Holders candlesticks &amp; Lanterns , Houseware &amp; Tableware Decor, Indian Manufacturers and Exporters of Metal artware and Handicrafts Decor, Christmas and festivities decoration"
https://ambiente.messefrankfurt.com/frankfurt/en/exhibitor-search.detail.html/balaji-agarbatti-company.html,10.1,D88,Balaji Agarbatti Company,,India,,Ashish Shah,,Development,,"incense, smudge, palo santo, frankincense, fragrance"
https://ambiente.messefrankfurt.com/frankfurt/en/exhibitor-search.detail.html/balaji-loomtex.html,10.4,C60,Balaji Loomtex,www.balajiloomtex.com,India,balajiloomtex@gmail.com,,,,,
https://ambiente.messefrankfurt.com/frankfurt/en/exhibitor-search.detail.html/baldassare-agnelli-spa.html,8.0,D18,Baldassare Agnelli S.p.A.,www.pentoleagnelli.it,Italy,info@agnelli.net,,,,,"Pots, Pots, Aluminium, Aluminium, Copper"
https://ambiente.messefrankfurt.com/frankfurt/en/exhibitor-search.detail.html/balev-eood.html,3.0,B78,Balev EOOD,,Bulgaria,office@areon.com,,,,,"Perfumes, Reed Diffusers, Candles, Fragrances, Air Fresheners"
https://ambiente.messefrankfurt.com/frankfurt/en/exhibitor-search.detail.html/bali-ethnic-home.html,10.4,A24,Bali Ethnic Home,https://ethnichome.id/,Indonesia,info.baliethnichome@gmail.com,Wira Adi Kesuma,,General management ,,"Home Accessories, River Stone, Recycled Wood, Bali Stone, Tableware "
https://ambiente.messefrankfurt.com/frankfurt/en/exhibitor-search.detail.html/cv-bali-wirama.html,10.4,A32,CV. Bali Wirama,,Indonesia,ngurahwira777@gmail.com,Ngurah Wira,,,,"Home Decoration &amp; Wall Decoration, Garden Decoration, Metal Sculpture, Candle Holder, Christmas Decor"
https://ambiente.messefrankfurt.com/frankfurt/en/exhibitor-search.detail.html/ballograf-ab.html,4.2,D38,Ballograf AB,www.ballograf.com,Sweden,karin.kvist@ballograf.se,"Peter  Orrgren , Karin  Kvist, Mattias Holm, Christina Sand",,,linkedin,"Ballpoint pens, Mechanical pencils, Markers, Promotional pens , Sustainable writing"
https://ambiente.messefrankfurt.com/frankfurt/en/exhibitor-search.detail.html/baltali-silikon-kaucuk-sanayi-ve-ticaret-limited-sirketi.html,9.1,F61,Baltali Silikon Kaucuk Sanayi Ve Ticaret Limited Sirketi,www.myssilicone.com,Türkiye,ersin@myssilicone.com,,,,,
https://ambiente.messefrankfurt.com/frankfurt/en/exhibitor-search.detail.html/uab-baltic-flax.html,3.1,F02,UAB Baltic Flax,www.baltic-flax.com,Lithuania,boris@baltic-flax.com,,,,,"linen bedding, hemp bedding, table linen, kitchen linen, bath linen"
https://ambiente.messefrankfurt.com/frankfurt/en/exhibitor-search.detail.html/balvi-gifts-sl.html,4.2,H02,Balvi Gifts SL,www.balvi.com,Spain,export2@balvi.com,"Silvia Marcassa, Daniela Reglá, Alicia Arteaga, José Manuel Navarro",,"Sales , Marketing/Advertising, Production",,"original, design, smart, gift, smiles"
https://ambiente.messefrankfurt.com/frankfurt/en/exhibitor-search.detail.html/bama-spa.html,9.2,C31,Bama S.p.A.,www.bamagroup.com,Italy,info@bamagroup.com,Simonetta Bottai,,Sales ,linkedin,"Household, Household, Garden, Garden, Pet"
https://ambiente.messefrankfurt.com/frankfurt/en/exhibitor-search.detail.html/bamboo-pq-co--ltd.html,10.3,C17,"BAMBOO PQ CO., LTD.",www.bamboopq.com,Vietnam,polly@bamboopq.com,"Polly  Bui , Quyet Nguyen , Thao do",,"Marketing/Advertising, Headquarters, Controlling, Sales ",linkedin,"Basket, storage, Vietnam, pet house, Houseware, kitchenware, tray, placemat, decoration, decor, Lampshade, lantern, Bath accessory, laundry, Planter, Bamboo, handicraft, handmade"
https://ambiente.messefrankfurt.com/frankfurt/en/exhibitor-search.detail.html/azurous-inc.html,4.2,M49,Cabeau,cabeau.com,United States,accounting@cabeau.com,David  Montoya ,,Sales ,,"Travel Accessories, Neck Pillow , Travel Pillow , Lumbar Support , Comfort Products "
https://ambiente.messefrankfurt.com/frankfurt/en/exhibitor-search.detail.html/cactilicious-garden.html,10.4,B69,Cactilicious Garden,,Ghana,isaactth@gmail.com,,,,," Pots, Vases, Garden, interior, concrete"
https://ambiente.messefrankfurt.com/frankfurt/en/exhibitor-search.detail.html/cadi-group-shpk.html,9.2,E72,Cadi Group Shpk,,Kosovo,,"Florim Gashi, Sadri Gashi",,"Sales , Project Management",,"Brushe &amp; Broom, B&uuml;rsten &amp; Besen, Dustpan, Squeegee, Kehrschaufeln, Abzieher, Plastic Bucket, Plastik eimer, Floor microfiber mop, Mikrofasermopps f&uuml;r B&ouml;den, Metallic fix handle &amp; telescopic handle, Fixgriffe &amp; Teleskopgriffe aus Metall"
https://ambiente.messefrankfurt.com/frankfurt/en/exhibitor-search.detail.html/cadraven-sarl.html,3.0,F51,Cadr&#39;Aven Sarl.,www.cadraven.fr,France,,"None None, Le Bellec Chantal",,"Export, Export",,"Bilderrahmen, Wanddeko, Wanduhren, frame, Glasbilder"
https://ambiente.messefrankfurt.com/frankfurt/en/exhibitor-search.detail.html/caesar-crystal-bohemiae-as.html,12.1,A55,"Caesar Crystal Bohemiae, a.s.",www.caesar-crystal.cz,Czech Republic,chatrny@caesar-crystal.cz,,,,,"hand made crystal glass, vases, tableware, stemware, hookah shisha bases"
https://ambiente.messefrankfurt.com/frankfurt/en/exhibitor-search.detail.html/cakmak-ev-gerecleri-san-ve-tic-ltd-sti.html,9.3,D98,Cakmak Ev Gerecleri San. ve Tic. Ltd. Sti.,www.cakmakmetal.com,Türkiye,nuri@cakmakmetal.com,,,,,"LADDERS, STAIRS, STEP STOOL, KLAPPTRITT, TEIRTTLEITER"
https://ambiente.messefrankfurt.com/frankfurt/en/exhibitor-search.detail.html/calder-snc.html,9.0,B61,Calder snc,www.calder.it,Italy,info@calder.it,None None,,Sales ,,"made in Italy, chopping board, microperforated ring, stainless steel, kitchen tools "
https://ambiente.messefrankfurt.com/frankfurt/en/exhibitor-search.detail.html/california-innovations-inc.html,9.1,C65,California Innovations Inc.,www.arcticzone.com,Canada,guy.gagnon@ca-innovations.com,"Guy Gagnon, Cameron Sullivan",,Sales ,,"lunch bags, insulated products, coolers, soft sided coolers, Frozen Food"
https://ambiente.messefrankfurt.com/frankfurt/en/exhibitor-search.detail.html/camry-industries-company-limited.html,11.1,F11A,Camry Industries Company Limited,www.camry-hk.com,Hong Kong,sales@camry-hk.com,"KAY HUI, IMAN HUI",,"Sales , Sales ",,"Scale , Kitchen Scale , Electronic Scale , Smart Scale , Body Fat Scale"
https://ambiente.messefrankfurt.com/frankfurt/en/exhibitor-search.detail.html/cancan-meyve-presleri-san-tic-ltd-sti.html,11.0,A71,Cancan Meyve Presleri San. Tic. Ltd. Sti.,www.cancan.com.tr,Türkiye,export@cancan.com.tr,,,,linkedin,"Horeca Equipment, Restaurant Equipment, Beverage, Cutters &amp; Slicers, Food Preparation Equipment"
https://ambiente.messefrankfurt.com/frankfurt/en/exhibitor-search.detail.html/mandatus-uab.html,4.2,G54,CandleHand,candlehand.com,Lithuania,ruta@candlehand.com,"Ruta Kisieliute, Gabriele Kisieliute, Justinas Bruzas",,"Sales , Sales , Production",,"candle, candles, Kerze, candle gift, scented candles"
https://ambiente.messefrankfurt.com/frankfurt/en/exhibitor-search.detail.html/candol-produktions--und-handelsgesmbh.html,11.0,A44,Candol Produktions- und HandelsgesmbH,www.candol.com,Austria,sales@candol.com,Lukas Thomas,,Sales ,linkedin,"Tischleuchten, Tischt&uuml;cher, Moskito Stop, Kerzen, Tischw&auml;sche"
https://ambiente.messefrankfurt.com/frankfurt/en/exhibitor-search.detail.html/fujian-dehua-candong-ceramics-co-ltd.html,10.2,C10,"Fujian Dehua Candong Ceramics Co., Ltd.",www.orientsupply.com,China,debbie@orientsupply.com,"XINGONG Zheng, SHUPING ZHU",,"Headquarters, Controlling, Sales ",,"CERAMIC MUG, STONEWARE, TABLETOP, Plate, Cup"
https://ambiente.messefrankfurt.com/frankfurt/en/exhibitor-search.detail.html/cangshan-cutlery-company.html,8.0,H78,Cangshan Cutlery Company,www.cangshancutlery.com,United States,adam@cangshancutlery.com,,,,,"messer, messer, cangshan, cangshan, cutlery"
https://ambiente.messefrankfurt.com/frankfurt/en/exhibitor-search.detail.html/cantra-sl.html,8.0,A14,Cantra S.L.,www.e-magefesa.com,Spain,logistica@cantra.es,,,,,"MAGEFESA, CASSEROLES, FRYPANS, MAGEFESA, COOKWARE SET"
https://ambiente.messefrankfurt.com/frankfurt/en/exhibitor-search.detail.html/caoxian-u-and-i-home-decoration-co-ltd.html,10.1,F79E,"Caoxian U And I Home Decoration Co., Ltd",,China,vivien.sun@uihomedeco.com,,,,,
https://ambiente.messefrankfurt.com/frankfurt/en/exhibitor-search.detail.html/capdeco-sarl.html,12.1,E01,Capdeco SARL,http://www.capdeco-france.com/en/,France,edouard.froment@capdeco-france.com,None None,,,,"cutlery, gold-plated cutlery, wood cutlery, colored cutlery, luxury cutlery"
https://ambiente.messefrankfurt.com/frankfurt/en/exhibitor-search.detail.html/shengzhou-captain-industrial--trading-co-ltd.html,9.3,F98,"Shengzhou Captain Industrial &amp; Trading Co., Ltd",,China,info@smile-china.com,"XIAORONG Wang, ZHENGYING LONG, WENHONG Chen, Na Zhang",,"General management , Development, Development, Production",,"Fashion, High cost Performance, Environmental, High Active, Simple"
https://ambiente.messefrankfurt.com/frankfurt/en/exhibitor-search.detail.html/captain-trade-ltd.html,11.1,G11E,Captain Trade Ltd.,,Hong Kong,peter@sunnecko.com,,,,,
https://ambiente.messefrankfurt.com/frankfurt/en/exhibitor-search.detail.html/captivate-brands-ltd.html,9.0,E30,Captivate Brands Ltd.,www.captivatebrands.com,Great Britain and Northern Ireland,jake.doney@handhasia.com,,,,,"Brands, Utensils, Cooking, Kitchenware, Baking"
https://ambiente.messefrankfurt.com/frankfurt/en/exhibitor-search.detail.html/caran-dache-vertriebs-gmbh-deutschland.html,4.2,E11,Caran d&#39;Ache Vertriebs GmbH Deutschland,www.carandache.com,Germany,info@carandache.de,,,,,"Kugelschreiber, Schreibger&auml;te, Farbstifte, Swiss, writing instruments"
https://ambiente.messefrankfurt.com/frankfurt/en/exhibitor-search.detail.html/carchidea-sl.html,4.2,B11,CARCHIVO - Carchidea S.L.,www.carchivo.com,Spain,info@carchivo.com,"Cristina Ms Agra, Emilie Lasbezeilles",,"Export, Project Management",linkedin,"ring binder , discbound sistem, discbound notebook, discbound planner, european manufacturer"
https://ambiente.messefrankfurt.com/frankfurt/en/exhibitor-search.detail.html/if-cardboard-creations-ltd.html,4.2,D21,IF Cardboard Creations Ltd,www.ifplc.com,Great Britain and Northern Ireland,info@ifplc.com,,,,linkedin,"Bookaroo, Gifts, Book related gifts, Notebook, Merchandising"
https://ambiente.messefrankfurt.com/frankfurt/en/exhibitor-search.detail.html/carl-schmidt-sohn-gmbh.html,8.0,A69,Carl Schmidt Sohn GmbH,www.cs-kochsysteme.com,Germany,css@cs-solingen.com,None None,,Export,,"Topf, Schneidwaren, Messer, Schneidwaren, Kochgeschirr"
https://ambiente.messefrankfurt.com/frankfurt/en/exhibitor-search.detail.html/carnival-home-concepts.html,10.1,E60B,Carnival Home Concepts,www.tanbrown.in,India,carnivalhome@gmail.com,"Rinc Francis, Francis Kuruvilla, Savio Kuruvilla",,"Production, Production, Production",,"Small Leather Goods, Leather goods, Leather Bags and accessories, Leather Cushions , Leather journals"
https://ambiente.messefrankfurt.com/frankfurt/en/exhibitor-search.detail.html/liling-dacheng-ceramic--industry-co-ltd.html,10.2,F50B,"Liling Dacheng Ceramic Industry Co., Ltd.",http://www.dcitableware.com/,China,ellenwu@dcitableware.com,"Jack Law, Ellen Wu, None None, None None",,"Headquarters, Controlling, Sales , Sales , Engineering/Design",,"Ceramic, Tableware, Cup, Reactive glaze, Customization"
https://ambiente.messefrankfurt.com/frankfurt/en/exhibitor-search.detail.html/dae-il-korea.html,11.1,C39,DAE-IL Korea,www.daeilkorea.co.kr,"Korea, the Republic of (South)",daeilkorea@naver.com,Hayoung Lee,,Export,,"Kitchenware, Houseware, Silicone kitchen tools, Baking tools, Plastic kitchenware"
https://ambiente.messefrankfurt.com/frankfurt/en/exhibitor-search.detail.html/daemyung-inex-co-ltd.html,11.1,F41,"Daemyung Inex Co., Ltd.",www.i-nex.co.kr,"Korea, the Republic of (South)",inexdm@naver.com,Sejin Kim,,Sales ,,"Kitchen Products, K&uuml;chenprodukte, Household Items, Haushaltsartikel, Quality Assurance, Qualit&auml;tssicherung, Korea-based Manufacturing, In Korea ans&auml;ssige Herstellung, Customer-Centric Approach, Kundenorientierter Ansatz"
https://ambiente.messefrankfurt.com/frankfurt/en/exhibitor-search.detail.html/daff-gmbh--co-kg.html,3.1,F40,daff GmbH &amp; Co. KG,www.daff.de,Germany,info@daff.de,Marc Tannebaum,,Other,,"Tischset, Untersetzer, Leder, recycelt, vegan"
https://ambiente.messefrankfurt.com/frankfurt/en/exhibitor-search.detail.html/da-hing-far-east-co-limited.html,10.3,B27,Da Hing (Far East) Co Limited,www.tradeeasy.com/supplier/22428/da-hing-far.html,Hong Kong,dahingfe@netvigator.com,,,,,"Candle Holder, Home Decoration, Artifical Plant, Christmas Decoration, Ceramic Product ranges"
https://ambiente.messefrankfurt.com/frankfurt/en/exhibitor-search.detail.html/shanxi-dahua-glass-scientific-co-limited.html,10.2,A55,"Shanxi Dahua Glass Scientific Co., Limited",www.dahuaglass.com,Hong Kong,vincent@dahuaglass.com,,,,,
https://ambiente.messefrankfurt.com/frankfurt/en/exhibitor-search.detail.html/shuangtong-daily-necessities-co-ltd.html,11.1,F31C,"Shuangtong Daily Necessities Co., Ltd.",www.sotongroup.com,China,greyson@china-straws.com,"Greyson Lou, Kyle Wang, Christie Wang",,,,"Bio-degradable disposable products, Eco-friendly products, PLA Straw, Paper Straw, Reusable Straw, Biodegradable and reusable tableware, Straw, cup and tableware"
https://ambiente.messefrankfurt.com/frankfurt/en/exhibitor-search.detail.html/pt-dairinli-global-makmur.html,10.0,A12,PT. Dairinli Global Makmur,www.daiichifile.com,Indonesia,dairinliglobalmakmur@gmail.com,irene suhardiman,,,,"files and folders, office supply, quotation folders, document storage, Ring Binders"
https://ambiente.messefrankfurt.com/frankfurt/en/exhibitor-search.detail.html/dajar-spzoo.html,9.3,D61,Dajar Sp. z o.o.,,Poland,aleksandra.gatkiewicz@dajar.pl,,,,,"Producer, Frying pans and pots, Dinning room, Tableware, Kitchen"
https://ambiente.messefrankfurt.com/frankfurt/en/exhibitor-search.detail.html/dalebrook-supplies-limited.html,11.0,B20,Dalebrook Supplies Limited,www.dalebrook.com,Great Britain and Northern Ireland,sales@dalebrook.com,"Camille Hommez, Aaron Linch, Martin Chudleigh, Rachel Lowe",,"Marketing/Advertising, General management , Sales ",,"Melamine, horeca, Tableware, Buffet Display, Geschirr"
https://ambiente.messefrankfurt.com/frankfurt/en/exhibitor-search.detail.html/dalian-talent-poland-sp-z-oo.html,3.0,A88,Dalian Talent Poland Sp. z o.o.,www.daliantalent.com,Poland,mariapietrzyk.sales@daliantalent.com,Maria Pietrzyk,,Sales ,,"candles, aroma naturals, candles, reed diffusers, home fragrance "
https://ambiente.messefrankfurt.com/frankfurt/en/exhibitor-search.detail.html/dalolindn-ab.html,9.1,B11,DaloLind&eacute;n AB,www.lindenint.se,Sweden,info@lindenint.se,,,,,"Measuring jugs, Measuring jugs, Buckets, twixit, Peeler"
https://ambiente.messefrankfurt.com/frankfurt/en/exhibitor-search.detail.html/ceramiche-dal-pra-di-dal-pra-rita.html,3.1,J90,Ceramiche Dal Pr&agrave; Di Dal Pr&agrave; Rita,www.ceramichedalpra.com,Italy,info@ceramichedalpra.com,,,,,"CERAMICS, VASE, BOX, LAMPBASE, CANDLEHOLDER"
https://ambiente.messefrankfurt.com/frankfurt/en/exhibitor-search.detail.html/studio-dalzotto-ltda.html,3.1,H69,Studio Dalzotto Ltda.,https://www.dztobjetos.com/,Brazil,dalzottostudio@gmail.com,,,,,"Home Decor, Artistic Home Objects, Handcrafted Home Decor, Poetic Home Decor, Unique Home Accessories"
