Shop Name,Official Business Name,Address,Telephone,Fax,E-mail,Website
Kaufhaus GNH Walsrode GmbH,Kaufhaus GNH Walsrode GmbH Filiale,Kastanienweg 2 29690 Schwarmstedt,+4950718005120,,info@kaufhaus-gnh.de,https://shop.gnh-spielwaren-walsrode.de/
collect-it.de,collect-it.de GmbH,Frankfurter StraÃŸe 56-58 63303 Dreieich,+496103697071,+496103697072,info@collect-it.de,http://www.collect-it.de
Faix Spiel+Freizeit,Faix & SÃ¶hne MainTaunusZentrum GmbH Filiale 3,Main-Taunus-Zentrum 65843 Sulzbach,+4969303022,+496151294505,zentrale@faix.de,http://www.faix.de
Karl Enders SÃ¶hne KG,Karl Enders SÃ¶hne KG,ZuckerstraÃŸe 24-26 64807 Dieburg,+49607122271,+49607121794,info@kaufhaus-enders.de,http://www.shop.kaufhaus-enders.de
Kaufhaus Braun,Kaufhaus Braun GmbH GLN: 4399901725034,Bahnstr. 101-107 63225 Langen,+49610391440,+496103914455,n.metzger@kaufhaus-braun.de,http://www.kaufhaus-braun.de
Tweles Zwergenland,Tweles Zwergenland GmbH,Immenweg 1 31582 Nienburg (Weser),+495021604373,+495021604375,kontakt@tweles-zwergenland.de,http://www.tweles-zwergenland.de
Spielwaren Hegmann,Berta Hegmann Inh. Marietta Brand e.Kfr.,IndustriestraÃŸe 1 63920 GroÃŸheubach,+4993716508012,+4993716508022,info@spielwaren-hegmann.de,http://www.spielwaren-hegmann.de
E. Fleischer GmbH,E. Fleischer GmbH Inh.Fr.Fleischer-Zoll GLN: 4399899085301,Celler Str. 56 31582 Nienburg,+4950214045,+49502163434,verkauf@fleischer-nienburg.de,http://www.fleischer-nienburg.de
Koch Westerburg,G. Koch GmbH & Co. KG,GÃ¼nther-Koch-StraÃŸe 23 56457 Westerburg,+492663293540,+492663293401,rg@koch-hagebau.de,http://vedes.koch-westerburg.de
Habermanns GlÃ¼ckskinder,Habermanns GlÃ¼ckskinder Inh. Marie-Luise Peter,BahnhofstraÃŸe 7 64354 Reinheim,+4961622475,+49616284786,kontakt@habermanns-glueckskinder.de,http://www.spielwaren-habermann.de
Spiel+Freizeit Viehweg,Viehweg Spiel + Freizeit GmbH,Wolkensteiner StraÃŸe 7 09456 Annaberg-Buchholz,+49373317010,+49373317014,buchhaltung@spielwaren-viehweg.de,http://www.spielwaren-viehweg.de
Faix Spiel+Freizeit,David Faix & SÃ¶hne GmbH HauptgeschÃ¤ft Filiale 1,ElisabethenstraÃŸe 1-3 64283 Darmstadt,+496151290911,+496151290999,zentrale@faix.de,http://www.faix.de
Faix Spiel+Freizeit,Faix & SÃ¶hne Weiterstadt GmbH im Loop 5 Filiale 4,GutenbergstraÃŸe 3-15 64331 Weiterstadt,+4961513970622,,zentrale@faix.de,http://www.faix.de
Spielzeugwelt Goyer,Otto Goyer OHG Filiale Salzwedel,NeuperverstraÃŸe 46 29410 Salzwedel,+49390138788,+49390138788,spielzeugweltgoyer@web.de,http://www.spielzeugwelt-goyer.de
Toysino - NÃ¼rnberg,Toysino GmbH MERCADO (Fil. 15),Ã„uÃŸere Bayreuther StraÃŸe 80 90491 NÃ¼rnberg,+499112110265,,Nuernberg@toysino.de,https://www.toysino.de
Dietz-Spielwaren,Dietz - Spielwaren Inh. Andreas Arzt,BraunstraÃŸe 11 64720 Michelstadt,+4960615107,+496061968242,spielwaren.dietz@t-online.de,https://www.spielwaren-dietz.de/dietz-spielwaren-m
Sports-Experts,Sports-Experts GmbH Ulrich Abendschein,Mitterteicher StraÃŸe 3 95643 Tirschenreuth,+499631603650,+499631603208,einkauf@mec24.de,
Spielwaren Schweiger GmbH,Spielwaren Schweiger GmbH,Eslarner StraÃŸe 2-4 90482 NÃ¼rnberg,+499112491750,+4991124917540,info@schweiger.de,http://www.schweiger.de
C & S Braun GmbH & Co. KG Kaufhaus Braun,C & S Braun GmbH & Co. KG Kaufhaus Braun GLN: 4371725000009,DarmstÃ¤dter Str. 14 64521 GroÃŸ-Gerau,+49615286100,+49615239914,m.tull@kaufhaus-braun.de,http://www.kaufhaus-braun.de
Kaufhaus SchnÃ¼ckel,SchnÃ¼ckel GmbH  GLN: 4399901477360,Massener Str. 2-8 59423 Unna,+4923032035,+492303203803,kontakt@kaufhaus-schnueckel.de,http://www.kaufhaus-schnueckel.de
Kaufhaus GNH Walsrode GmbH,"Kaufhaus GNH Walsrode GmbH GrÃ¼nhagen, NeuhÃ¤uÃŸer GLN: 4399902162531",Lange Str. 34-38 29664 Walsrode,+4951614810040,,info@kaufhaus-gnh.de,https://shop.gnh-spielwaren-walsrode.de/
Gottlieb Keitel KG,Gottlieb Keitel KG Ingeborg Mayr-Hettenbach GLN: 4317784000925,Widmannstr. 5-7 91541 Rothenburg,+4998615051,+49986186560,shop@eisen-keitel.de,http://www.eisen-keitel.de
Spielzeugwelt Goyer,Otto Goyer OHG Filale Uelzen,AchterstraÃŸe 4 29525 Uelzen,+4958130696,,spielzeugweltgoyer@web.de,http://www.spielzeugwelt-goyer.de
Spiel + Freizeit Nagel,Spiel + Freizeit Nagel GmbH & Co. KG,Alte Seilerei 10 49124 GeorgsmarienhÃ¼tte,+4954016336,+49540145200,kontakt@ich-will-zu-nagel.de,http://www.ich-will-zu-nagel.de
"A&E WiRTH ""Der Kinderladen"" Spielwaren - Spiele","A&E WiRTH ""Der Kinderladen"" GmbH & Co.KG",SchillerstraÃŸe 48 55116 Mainz,+4961312755390,+49613127553990,info@wirth-mainz.de,http://www.wirth-mainz.de
"A&E WiRTH Trading Card Games ""Sammelkarten & Events""","A&E WiRTH ""Der Kinderladen"" GmbH & Co.KG",SchillerstraÃŸe 46 55116 Mainz,+49613127553989,,tcg@wirth-mainz.de,http://www.wirth-tcg.de
A&E WiRTH SPIELECLUB Wir erklÃ¤ren - Du spielst,"A&E WiRTH ""Der Kinderladen"" GmbH & Co.KG",SchillerstraÃŸe 46-48 55116 Mainz,+4961312755390,+49613127553988,Spieleclub@wirth-mainz.de,http://www.wirth-spieleclub.de
"A&E WiRTH  ""Der Kinderladen"" Kinder- und Babyausstattung","A&E WiRTH ""Der Kinderladen"" GmbH & Co.KG Kinder- und Babyausstattung",GroÃŸe Bleiche 4 55116 Mainz,+4961312755390,,info@wirth-mainz.de,http://www.wirth-mainz.de
Kinderland WaldbrÃ¶l,Kinderland WaldbrÃ¶l e.K. Inh. Florian Richter,Talstrasse 33-35 51545 WaldbrÃ¶l,+4922915759,+4922914802,info@kinderland-waldbroel.de,http://www.kinderland-waldbroel.de
HÃ¼ter Einkaufszentrum,HÃ¼ter Einkaufszentrum GmbH & Co. KG GLN: 4388093553808,SamoborstraÃŸe 5 56422 Wirges,+4926026870,+49260268750,n.sauter@hueter-wirges.de,http://www.spielwaren-hueter.de
toys & trains,toys & trains ModelleisenbahnfachgeschÃ¤ft GmbH,Lange StraÃŸe 70 27232 Sulingen,+49427171213,+494271951325,toysundtrains@gmx.de,http://www.toysundtrains.de
Spielzeugwelt Goyer,Otto Goyer OHG,FriedensstraÃŸe 85 39619 Arendsee/Altmark,+493938498717,+493938498977,shop@spielzeugwelt-goyer.de,http://www.spielzeugwelt-goyer.de
Spiel + Freizeit Peppinghaus,Spiel + Freizeit Peppinghaus Hildegard Peppinghaus,Hiltruper StraÃŸe 59 48167 MÃ¼nster-Wolbeck,+49250685513,+49250685514,spielwaren@peppinghaus-muenster.de,http://www.peppinghaus-muenster.de
SchÃ¤ffer Spielwaren,Carl SchÃ¤ffer GmbH & Co. KG,Kamp 80 49074 OsnabrÃ¼ck,+495413313132,+495413313180,info@schaeffer-geschenke.de,http://www.schaeffer-geschenke.de
Spiel + Freizeit Fechter,Spiel + Freizeit Fechter GmbH,Joh.-Seb.-Bach-Platz 8 91522 Ansbach,+49981969690,+499819696969,sf@fechter-vedes.de,http://www.spielundfreizeit-fechter.de
Rolf Blomenkemper,Spielzeugschau Rolf Blomenkemper e.K.,MÃ¼nster StraÃŸe 29 44534 LÃ¼nen,+4923066655,+49230657045,blomenkemper.luenen@vedes.de,https://www.spielzeug-blomenkemper.de
Kaufhaus Ernst Ganz GmbH,Ernst Ganz GmbH GLN: 4399901736689,Hauptstr. 56 64625 Bensheim,+4962514006,+49625162441,kaufhaus_ganz@t-online.de,http://www.kaufhaus-ganz.de
Kinderparadies Witte,Kinderparadies Witte Inh. Carmen Witte e.K.,GroÃŸe StraÃŸe 115 27283 Verden,+4942313397,+49423181411,mail@kinderparadies-witte.de,http://www.kinderparadies-witte.de
Mukk Kinderwelt GmbH,MuKK Kinderwelt GmbH,Alter Fischmarkt 12 48143 MÃ¼nster,+492519795950,+4925197959519,info@mukk.de,http://www.mukk.de/
toys & trains,toys & trains ModelleisenbahnfachgeschÃ¤ft GmbH,WellestraÃŸe 28 49356 Diepholz,+495441995440,+495441995441,dh.toysundtrains@gmx.de,http://www.toysundtrains.de
Kaufhaus Berken,Berken Kaufhaus GmbH Herr Berken GLN: 4371643400004,Beifanger Weg 4-6 59379 Selm,+4925924077,+49259221344,zentrale@berken-kaufhaus.de,http://www.berken.de/
Spielzeugparadies HÃ¤ussermann,Otto HÃ¤ussermann OHG,HauptstraÃŸe 14 74653 KÃ¼nzelsau,+49794091610,+497940916199,info@haeussermann-online.de,http://www.haeussermann-online.de
Heinhaus Spiel- und Lederwaren,Uwe Heinhaus Spielwaren,Bahnhofstr. 4 42499 HÃ¼ckeswagen,+4921921430,+49219282931,u.heinhaus@dertutwas.com,http://www.dertutwas.com
VEDES family store,Toy Partner RH GmbH,FuggerstraÃŸe 1 91154 Roth,+4991718255790,+4991718255796,info@vedes-family-store.de,https://www.vedes-family-store.de
ChiLA GmbH,ChiLA GmbH,HauptstraÃŸe 50 74670 Forchtenberg,+49794798108116,+4979479810829,info@chila.de,http://www.chila.de
Spiel + Freizeit Voss,Voss Spiel und Freizeit GmbH & Co. KG,LangenbrÃ¼ckenstraÃŸe 5-7 59348 LÃ¼dinghausen,+49259191690,+492591916920,info@voss-spielwaren.de,http://www.voss.vedes.de
Spielzeugwelt Goyer,Otto Goyer OHG Filiale Dannenberg,Lange StraÃŸe 6-7 29451 Dannenberg,+4958619863716,+4958619863716,info@spielzeugwelt-goyer.de,http://www.spielzeugwelt-goyer.de
Vorteil-Center,Anton Limbach Dr. Michaela Limbach-Mertens e.K.,Anton-Limbach-StraÃŸe 1 53567 Asbach,+492683570,+49268357110,herbert.muss@vorteil-center.de,http://www.vorteil-center.de
VEDES Kinderwelt Neumarkt,Klebl Handel GmbH,FreystÃ¤dter StraÃŸe 11 92318 Neumarkt,+499181900266,+499181900265,vedeskinderwelt@klebl.de,http://www.vedes-kinderwelt.de
Schreib- und Spielwaren Dunz,Dunz GmbH & Co. KG Filiale Mosbach GLN: 4399902360005,HauptstraÃŸe 63 74821 Mosbach,+49626192120,+496261921244,mosbach@dunz.de,http://www.dunz.de
Spielzeugwelt Goyer,Otto Goyer OHG Filiale Wittenberge,Lenzener Chaussee 21 19322 Wittenberge,+4938775672240,+4938775672250,info@spielzeugwelt-goyer.de,http://www.spielzeugwelt-goyer.de
Schreib- und Spielwaren Dunz,Dunz GmbH & Co. KG,HauptstraÃŸe 8-10 74532 Ilshofen,+497904206,+4979048349,ilshofen@dunz.de,http://www.dunz.de
Feldmann,Eisen Feldmann GmbH & Co. KG,Unterer Markt 1 49477 IbbenbÃ¼ren,+49545115025,+49545115028,spielwaren@eisen-feldmann.de,http://www.eisen-feldmann.de
Toysino - Worms,Toysino GmbH Kaiserpassage (Fil. 19),Am RÃ¶mischen Kaiser 9 67547 Worms,+4962412027972,,Worms@toysino.de,https://www.toysino.de
Toys & Co,Henrich RÃ¶mann KG,KÃ¼stermeyerstraÃŸe 2-4 49393 Lohne,+4944425994,+494442803317,info@roemann.de,http://www.toysundco.de
Spielzeug-Paradies Wagner OHG,Spielzeug-Paradies Wagner OHG,Dr.-Ruer-Platz 6 44787 Bochum,+49234902820,+492349028299,info@spielzeug-paradies.de,http://www.spielzeug-paradies.de
Dodenhof,Dodenhof Posthausen KG Spielwaren GLN: 4260015940005,Posthausen 1 28870 Ottersberg,+49429736440,+494297363622,info@dodenhof.de,https://shoppingwelt.dodenhof.de/posthausen/
Dieter Grabert GmbH,Dieter Grabert GmbH,AustraÃŸe 5 74613 Ã–hringen,+497941928111,+4979419281912,e.langwisch@grabert.de,http://www.grabert.de
KrÃ¼mpelbeck GmbH,KrÃ¼mpelbeck GmbH,GroÃŸe StraÃŸe 38 / Markt 49377 Vechta,+494441921864,+49444184187,vedes@kruempelbeck.de,http://www.kruempelbeck.de
Spielwaren Bauer,Karl Bauer Inh. Karlheinz Bauer e.K.,MarktstraÃŸe 7 74613 Ã–hringen,+49794194950,+497941949550,info@bauer-oehringen.de,http://www.spielwaren-oehringen.de
Toysino - Dresden,Toysino GmbH Altmarkt-Galerie Dresden (Fil. 4),Webergasse 1 01067 Dresden,+4935182120048,,Dresden@toysino.de,https://www.toysino.de
Spielzeugwelt Goyer,Otto Goyer OHG Filiale LÃ¼neburg,Bei der KeulahÃ¼tte 1 21339 LÃ¼neburg,+4941316030563,,shop@spielzeugwelt-goyer.de,http://www.spielzeugwelt-goyer.de
Spielwaren Greiving,H. Greiving Kommanditgesellschaft,Westring 22 48249 DÃ¼lmen,+4925941628,+49259484916,info@spielwaren-greiving.de,https://www.spielwaren-greiving.de
Spielwaren Wiedmann,Wiedmann GmbH Spielwaren,Am Spitalbach 22 74523 SchwÃ¤bisch Hall,+49791855400,,hall@spielwaren-wiedmann.de,http://www.spielwaren-wiedmann.de
F.W. Dittmer KG,F.W. Dittmer KG GeschÃ¤ftsfÃ¼hrer Ulrich Steinkraus GLN: 4399901578432,Bei der Kirche 10-12 21271 Hanstedt,+4941841031103,+4941841466,spielwaren@dittmer-hanstedt.de,http://www.dittmer-hanstedt.de/
Spielwaren Sauer,Horst Sauer e.K. Inh. Dirk Sauer,Ausdorfer StraÃŸe 5 53489 Sinzig,+492642981415,+492642981416,spielwaren@sauer-sinzig.de,http://www.spielwaren-sauer.de
Vorteil-Center,Anton Limbach Inh. Dr. Michaela Limbach-Mertens e,Anton-Limbach-StraÃŸe 3 53572 Unkel,+492224901200,+49222490120127,info@vorteil-center.de,http://www.vorteil-center.de
Schnittker am Markt GmbH,Schnittker am Markt GmbH Johannes Lenzschau GLN: 4399899152010,Kleine Str. 2 27793 Wildeshausen,+49443198930,+494431989320,info@schnittker.net,http://www.schnittker.net
Dunz Spielwaren,Dunz GmbH & Co. KG Filiale Ellhofen,HauptstraÃŸe 30 74248 Ellhofen,+497134971130,,ellhofen@dunz.de,https://www.dunz-spielwaren.de/
Schreib- und Spielwaren Dunz,Dunz GmbH & Co. KG Filiale Westheim,HallerstraÃŸe 49 74538 Rosengarten-Westheim,+4979155726,+4979159008,westheim@dunz.de,http://www.dunz.de
Spielwaren Wiedmann,Wiedmann GmbH Spielwaren,KilianstraÃŸe 19 74072 Heilbronn,+4971318974551,,heilbronn@spielwaren-wiedmann.de,http://www.spielwaren-wiedmann.de
Toysino - Berlin Spandau,Toysino GmbH Spandau Arcaden (Fil. 3),KlosterstraÃŸe 3 13581 Berlin-Spandau,+493035104629,,Berlin-Spandau@toysino.de,https://www.toysino.de
Toysino - Essen,Toysino GmbH Allee-Center (Fil. 5),Altenessener StraÃŸe 411 45329 Essen,+4920136197985,,Essen@toysino.de,https://www.toysino.de
August BÃ¼ssing GmbH,August BÃ¼ssing GmbH Christiane BÃ¼ssing GLN: 4399899078174,Lange Str. 7 49685 Emstek,+494473777,+4944731874,AugustBuessing@t-online.de,http://www.bÃ¼ssing24.de
Spielzeug HAAR,Anke Haar GmbH & Co. KG,HauptstraÃŸe 92 28865 Lilienthal,+49429891650,+494298916527,info@haar-lilienthal.de,http://www.haar-lilienthal.de
Spielzeugwelt Goyer,Otto Goyer OHG Filiale Winsen/Luhe,Schanzenring 6-8 21423 Winsen/Luhe,+4941716046410,+4941716046411,info@spielzeugwelt-goyer.de,http://www.spielzeugwelt-goyer.de
Spiel+Freizeit NuÃŸstein,Georg NuÃŸstein e.K. Inh. Bernhard NuÃŸstein,Regensburger StraÃŸe 4 93133 Burglengenfeld,+49947170120,+499471701225,info@spielwaren-nusstein.de,https://www.spielwaren-nusstein.de
Spielwaren Wiedmann,Wiedmann GmbH Spielwaren,BahnhofstraÃŸe 7 74405 Gaildorf,+497971977744,,gaildorf@spielwaren-wiedmann.de,http://www.spielwaren-wiedmann.de
Toysino - KÃ¶ln-Chorweiler,Toysino GmbH City-Center (Fil. 8),MailÃ¤nder Passage 1 50765 KÃ¶ln,+4922137950073,,Koeln-Chorweiler@toysino.de,https://www.toysino.de
Spielwaren Wiedmann,Wiedmann GmbH Spielwaren,HauptstraÃŸe 26-28 71717 Beilstein,+4970629151675,,beilstein@spielwaren-wiedmann.de,http://www.spielwaren-wiedmann.de
Ein StÃ¼ckchen GlÃ¼ck,Ein StÃ¼ckchen GlÃ¼ck Inh. Stefan Wischhusen e.K.,SchulstraÃŸe 2 27404 Zeven,+4942812257,+49428180684,Info@wischhusen.online,http://www.einstueckchenglueck.de/
